indicator_definition_id,metric_id,dataset_id,source_indicator_code,source_indicator_name,definition_text,official_unit,valid_from_year,valid_to_year
indicator_definition/worldbank/SE.XPD.TOTL.GD.ZS,government_expenditure_education_pct_gdp,dataset/worldbank/edstats_phase1_api,SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)",General government expenditure on education expressed as a percentage of GDP.,% of GDP,,
indicator_definition/worldbank/SE.XPD.TOTL.GB.ZS,government_expenditure_education_pct_total_govt_expenditure,dataset/worldbank/edstats_phase1_api,SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)",General government expenditure on education expressed as a percentage of total government expenditure.,% of government expenditure,,
indicator_definition/worldbank/SE.ADT.LITR.ZS,adult_literacy_rate_15_plus,dataset/worldbank/edstats_phase1_api,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",Share of adults age 15 and above who can read and write with understanding.,% of population age 15+,,
indicator_definition/worldbank/SE.PRM.CMPT.ZS,completion_rate_primary,dataset/worldbank/edstats_phase1_api,SE.PRM.CMPT.ZS,"Completion rate, primary, total (% of relevant age group)",Primary completion rate for the relevant age group.,% of relevant age group,,
indicator_definition/worldbank/SP.POP.TOTL,total_population,dataset/worldbank/edstats_phase1_api,SP.POP.TOTL,"Population, total",Total midyear population.,people,,
indicator_definition/worldbank/NY.GDP.PCAP.KD,gdp_per_capita_constant_usd,dataset/worldbank/edstats_phase1_api,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),GDP per capita based on constant 2015 U.S. dollars.,constant 2015 US$,,
