metric_id,display_name,description,metric_family,domain,unit_type,unit_label,directionality,aggregation_level,is_core_phase1,source_metric_code
government_expenditure_education_pct_gdp,"Government expenditure on education, total (% of GDP)",General government expenditure on education expressed as a percentage of GDP.,funding,funding,percentage,% of GDP,context_dependent,country_year,true,SE.XPD.TOTL.GD.ZS
government_expenditure_education_pct_total_govt_expenditure,"Government expenditure on education, total (% of government expenditure)",General government expenditure on education expressed as a percentage of total government expenditure.,funding,funding,percentage,% of government expenditure,context_dependent,country_year,true,SE.XPD.TOTL.GB.ZS
adult_literacy_rate_15_plus,"Literacy rate, adult total (% of people ages 15 and above)",Share of adults age 15 and above who can read and write with understanding.,literacy,outcomes,percentage,% of population age 15+,higher_is_better,country_year,true,SE.ADT.LITR.ZS
completion_rate_primary,"Completion rate, primary, total (% of relevant age group)",Primary completion rate for the relevant age group.,completion,access,percentage,% of relevant age group,higher_is_better,country_year,true,SE.PRM.CMPT.ZS
total_population,"Population, total",Total midyear population.,population_context,context,count,people,neutral,country_year,true,SP.POP.TOTL
gdp_per_capita_constant_usd,GDP per capita (constant 2015 US$),GDP per capita based on constant 2015 U.S. dollars.,population_context,context,currency,constant 2015 US$,context_dependent,country_year,true,NY.GDP.PCAP.KD
