record_id,state_code,state_name,year,indicator_id,value_numeric,value_text,unit_label,source_system,source_dataset,source_release_id,source_url,source_row_id,quality_flag,comparability_flag,notes
AK_2022_ACS_POVERTY_RATE,AK,Alaska,2022,frpl_eligible_rate,11.0000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2022_S1701_2026-05-06,"https://api.census.gov/data/2022/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2022:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2023_ACS_POVERTY_RATE,AK,Alaska,2023,frpl_eligible_rate,10.4000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2023_S1701_2026-05-06,"https://api.census.gov/data/2023/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2023:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2024_ACS_POVERTY_RATE,AK,Alaska,2024,frpl_eligible_rate,10.2000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2024_S1701_2026-05-06,"https://api.census.gov/data/2024/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2024:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AL_2010_ACS_POVERTY_RATE,AL,Alabama,2010,frpl_eligible_rate,19.0000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2010_S1701_2026-05-06,"https://api.census.gov/data/2010/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2010:S1701:01,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AL_2011_ACS_POVERTY_RATE,AL,Alabama,2011,frpl_eligible_rate,19.0000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2011_S1701_2026-05-06,"https://api.census.gov/data/2011/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2011:S1701:01,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AL_2012_ACS_POVERTY_RATE,AL,Alabama,2012,frpl_eligible_rate,19.0000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2012_S1701_2026-05-06,"https://api.census.gov/data/2012/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2012:S1701:01,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AL_2013_ACS_POVERTY_RATE,AL,Alabama,2013,frpl_eligible_rate,18.7000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2013_S1701_2026-05-06,"https://api.census.gov/data/2013/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2013:S1701:01,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AL_2014_ACS_POVERTY_RATE,AL,Alabama,2014,frpl_eligible_rate,19.3000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2014_S1701_2026-05-06,"https://api.census.gov/data/2014/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2014:S1701:01,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AL_2015_ACS_POVERTY_RATE,AL,Alabama,2015,frpl_eligible_rate,18.5000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2015_S1701_2026-05-06,"https://api.census.gov/data/2015/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2015:S1701:01,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AL_2016_ACS_POVERTY_RATE,AL,Alabama,2016,frpl_eligible_rate,17.1000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2016_S1701_2026-05-06,"https://api.census.gov/data/2016/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2016:S1701:01,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
